,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
201,Saint Anthony,45.0205,-93.218,48.81,58,1,1.99,US,clear sky
202,Sorland,67.667,12.6934,42.04,60,79,12.8,NO,broken clouds
203,Coahuayana,18.7333,-103.6833,87.28,64,96,2.48,MX,overcast clouds
204,Hofn,64.2539,-15.2082,44.8,95,100,6.85,IS,overcast clouds
205,Lagunas,-5.2269,-75.6753,94.21,43,64,6.35,PE,broken clouds
206,Bien Hoa,10.95,106.8167,76.98,92,100,3.11,VN,overcast clouds
207,Kapoeta,4.7717,33.5903,88.07,32,50,9.51,SS,scattered clouds
208,Cherskiy,68.75,161.3,-6.43,100,100,2.37,RU,overcast clouds
209,Salalah,17.0151,54.0924,78.89,78,0,2.3,OM,clear sky
210,Visby,57.6409,18.296,41.86,65,75,14.97,SE,broken clouds
211,Nova Olimpia,-14.7972,-57.2881,100.89,31,94,10.02,BR,overcast clouds
212,Ostersund,63.1792,14.6357,36.05,93,75,10.36,SE,broken clouds
213,Poum,-20.2333,164.0167,73.81,80,4,14.54,NC,clear sky
214,Voznesenye,61.0106,35.4781,35.85,97,100,13.09,RU,light rain
215,Nyangao,-10.3333,39.2833,74.01,82,7,8.03,TZ,clear sky
216,Eureka,40.8021,-124.1637,56.25,69,100,8.99,US,light rain
217,Cabo San Lucas,22.8909,-109.9124,86.61,69,40,6.91,MX,scattered clouds
218,Kencong,-8.2833,113.3667,78.51,81,99,0.96,ID,overcast clouds
219,Tifton,31.4505,-83.5085,78.42,52,1,4.61,US,clear sky
220,Marsh Harbour,26.5412,-77.0636,77.32,84,100,14.72,BS,overcast clouds
221,Muros,42.7762,-9.0603,62.85,72,98,3.53,ES,overcast clouds
222,Launceston,-41.45,147.1667,49.64,94,75,4.61,AU,broken clouds
223,Tiarei,-17.5333,-149.3333,75.22,91,100,10.94,PF,light rain
224,Lazaro Cardenas,17.9583,-102.2,83.5,72,99,1.61,MX,overcast clouds
225,Chimbote,-9.0853,-78.5783,68.61,72,91,11.03,PE,overcast clouds
226,Bosaso,11.2842,49.1816,80.65,57,5,3.53,SO,clear sky
227,Rio Grande,-32.035,-52.0986,62.94,90,100,12.39,BR,moderate rain
228,French Harbor,16.35,-86.4333,87.8,84,75,1.99,HN,broken clouds
229,Katobu,-4.9408,122.5276,75.61,91,86,2.21,ID,overcast clouds
230,Raudeberg,61.9875,5.1352,45.27,72,100,5.01,NO,light rain
231,Saint Joseph,39.7686,-94.8466,59.09,66,1,12.66,US,clear sky
232,Fairbanks,64.8378,-147.7164,27.61,90,1,0.0,US,clear sky
233,Beawar,26.1,74.3167,72.59,54,0,5.82,IN,clear sky
234,Kodiak,57.79,-152.4072,42.31,81,90,8.05,US,light rain
235,Totma,59.9747,42.7642,37.31,92,85,5.35,RU,light rain
236,Ixtapa,20.7,-105.2,87.03,66,40,3.44,MX,scattered clouds
237,Nanortalik,60.1432,-45.2371,36.77,72,25,6.31,GL,scattered clouds
238,Port Shepstone,-30.7414,30.455,68.59,74,6,30.85,ZA,clear sky
239,Hilo,19.7297,-155.09,72.25,96,90,4.61,US,heavy intensity rain
240,Nevsehir,38.9167,34.6667,47.41,32,0,9.22,TR,clear sky
241,Aksarka,66.5606,67.7975,29.57,93,98,9.98,RU,overcast clouds
242,Labuhan,-6.8844,112.2051,80.51,77,93,9.15,ID,overcast clouds
243,Floro,61.5996,5.0328,46.36,66,75,16.11,NO,light rain
244,Hasaki,35.7333,140.8333,41.4,55,0,14.32,JP,clear sky
245,Thompson,55.7435,-97.8558,33.96,80,75,2.3,CA,light shower snow
246,Durban,-29.8579,31.0292,72.91,90,7,14.0,ZA,light rain
247,Esperance,-33.8667,121.9,53.15,70,1,17.9,AU,clear sky
248,Zhuhai,22.2769,113.5678,70.05,82,40,18.41,CN,scattered clouds
249,Hambantota,6.1241,81.1185,79.83,77,14,13.0,LK,few clouds
250,Mackenzie,55.2999,-123.1698,41.77,87,88,2.24,CA,overcast clouds
251,Russell,32.3502,-85.1999,70.99,50,1,0.0,US,clear sky
252,Salinas,36.6777,-121.6555,61.61,78,90,0.0,US,overcast clouds
253,Saint-Lo,49.1162,-1.0903,54.03,73,6,5.97,FR,clear sky
254,Mayahi,13.9553,7.6712,92.59,28,33,4.12,NE,scattered clouds
255,Buluang,13.3068,123.3425,75.99,93,100,3.58,PH,light rain
256,Saldanha,-33.0117,17.9442,59.36,75,18,8.48,ZA,few clouds
257,Kajaani,64.2273,27.7285,28.45,80,0,5.75,FI,clear sky
258,Altay,47.8667,88.1167,27.32,65,50,5.93,CN,scattered clouds
259,Panguna,-6.3164,155.4848,66.54,95,7,1.86,PG,clear sky
260,Kaniama,-7.5667,24.1833,74.84,68,62,2.21,CD,broken clouds
261,Alice Springs,-23.7,133.8833,71.15,35,43,10.36,AU,scattered clouds
262,Gizo,-8.103,156.8419,81.88,78,11,9.62,SB,few clouds
263,Vilhena,-12.7406,-60.1458,93.72,36,62,7.27,BR,broken clouds
264,Khasan,42.4308,130.6434,46.9,52,0,7.65,RU,clear sky
265,Mbanza-Ngungu,-5.25,14.8667,74.19,80,97,2.64,CD,light rain
266,Conceicao Do Araguaia,-8.2578,-49.2647,87.42,59,93,4.97,BR,overcast clouds
267,Pisco,-13.7,-76.2167,67.01,76,8,7.76,PE,clear sky
268,La Ronge,55.1001,-105.2842,37.45,69,17,16.4,CA,few clouds
269,Caravelas,-17.7125,-39.2481,79.86,67,69,9.28,BR,broken clouds
270,Pochutla,15.7432,-96.4661,75.02,82,97,1.99,MX,overcast clouds
271,Nishihara,26.1842,127.7558,72.68,61,75,9.22,JP,broken clouds
272,Charters Towers,-20.1,146.2667,70.3,87,35,3.53,AU,scattered clouds
273,Alta Floresta,-9.8756,-56.0861,87.82,55,84,4.36,BR,broken clouds
274,Carnarvon,-24.8667,113.6333,69.87,73,0,13.8,AU,clear sky
275,Zhigansk,66.7697,123.3711,21.34,95,100,16.75,RU,snow
276,Vao,-22.6667,167.4833,71.51,79,94,15.88,NC,overcast clouds
277,Am Timan,11.0297,20.2827,85.42,49,28,4.07,TD,scattered clouds
278,Cao Bang,22.6667,106.25,57.76,88,51,1.54,VN,broken clouds
279,Magole,-6.3667,37.3667,80.71,52,32,10.69,TZ,scattered clouds
280,Mitsamiouli,-11.3847,43.2844,78.94,75,0,6.82,KM,clear sky
281,Teruel,40.6667,-0.6667,58.48,48,0,2.98,ES,clear sky
282,Sitka,57.0531,-135.33,48.09,66,75,9.22,US,light rain
283,Biltine,14.5333,20.9167,92.34,16,5,14.9,TD,clear sky
284,Axim,4.8699,-2.2405,79.25,80,99,7.09,GH,light rain
285,Albertville,34.2676,-86.2089,69.42,62,1,1.01,US,clear sky
286,The Valley,18.217,-63.0578,87.66,65,20,14.97,AI,few clouds
287,Lumphat,13.4878,106.9816,71.15,93,95,3.24,KH,overcast clouds
288,Tres Arroyos,-38.3739,-60.2798,68.52,27,70,21.36,AR,broken clouds
289,Qabaqcol,41.72,46.2647,53.64,66,0,2.39,AZ,clear sky
290,Del Rio,29.3627,-100.8968,80.71,63,1,12.66,US,clear sky
291,Bilibino,68.0546,166.4372,-4.97,100,100,0.4,RU,overcast clouds
292,Toora-Khem,52.4675,96.11,28.67,96,83,0.58,RU,broken clouds
293,Tambura,5.6,27.4667,75.92,77,96,6.89,SS,light rain
294,Miri,4.4148,114.0089,75.94,92,100,6.02,MY,overcast clouds
295,Lagos,6.5833,3.75,75.6,91,98,5.79,NG,light rain
296,Grindavik,63.8424,-22.4338,46.87,100,90,14.97,IS,overcast clouds
297,Adrar,20.5022,-10.0711,89.91,13,26,1.25,MR,scattered clouds
298,Tucurui,-3.7661,-49.6725,81.55,74,100,4.25,BR,light rain
299,Moussoro,13.6408,16.4901,96.37,15,2,9.37,TD,clear sky
300,Coolum Beach,-26.5333,153.1,74.1,93,47,1.01,AU,scattered clouds
301,Nabire,-3.3667,135.4833,74.91,95,92,3.22,ID,overcast clouds
302,Ban Nahin,18.2418,104.2122,66.43,86,66,3.89,LA,broken clouds
303,Yangambi,0.8102,24.4336,78.4,72,100,2.64,CD,overcast clouds
304,Te Anau,-45.4167,167.7167,49.96,95,100,0.34,NZ,light rain
305,Merauke,-8.4667,140.3333,77.65,78,70,11.48,ID,broken clouds
306,Kikwit,-5.041,18.8162,72.45,93,79,1.81,CD,light rain
307,Shunyi,40.125,116.6453,37.35,93,0,2.24,CN,light rain
308,Chisindia,46.2833,22.1,48.99,57,10,3.76,RO,clear sky
309,Okhotsk,59.3833,143.3,16.81,79,74,12.86,RU,broken clouds
310,Ronneby,56.21,15.276,37.9,93,0,2.3,SE,clear sky
311,Xining,36.6167,101.7667,42.67,81,43,1.95,CN,scattered clouds
312,Provideniya,64.3833,-173.3,23.07,78,100,8.72,RU,overcast clouds
313,San Jose,37.3394,-121.895,63.27,76,40,5.75,US,scattered clouds
314,Kapuskasing,49.4169,-82.4331,35.4,98,100,7.43,CA,light rain
315,Mahebourg,-20.4081,57.7,75.25,79,10,11.23,MU,clear sky
316,San Cristobal,7.7669,-72.225,80.78,58,82,6.2,VE,broken clouds
317,Faya,18.3851,42.4509,64.92,38,7,5.99,SA,clear sky
318,Broome,42.2506,-75.833,50.38,72,90,1.01,US,light rain
319,Bengkulu,-3.8004,102.2655,75.97,91,64,4.36,ID,broken clouds
320,Anadyr,64.75,177.4833,-1.7,84,40,8.95,RU,scattered clouds
321,Sabha,27.0377,14.4283,87.21,14,48,10.07,LY,scattered clouds
322,Bismarck,46.8083,-100.7837,44.44,63,1,17.27,US,clear sky
323,Maldonado,-34.6667,-54.9167,61.23,82,100,5.99,UY,light rain
324,Demyanovo,60.3511,47.0842,38.73,89,92,9.48,RU,light rain
325,Avarua,-21.2078,-159.775,69.85,64,95,5.75,CK,light rain
326,Kusti,13.1629,32.6635,96.01,20,24,3.96,SD,few clouds
327,Belaya Gora,68.5333,146.4167,-12.32,96,79,4.23,RU,broken clouds
328,Constitucion,-35.3333,-72.4167,59.38,53,5,16.98,CL,clear sky
329,Uige,-7.6087,15.0613,71.38,92,100,2.89,AO,light rain
330,San Francisco,37.7749,-122.4194,62.92,85,75,1.01,US,broken clouds
331,Andenes,69.3143,16.1194,31.98,100,75,13.8,NO,snow
332,Coos Bay,43.3665,-124.2179,54.99,97,90,0.0,US,mist
333,Khatanga,71.9667,102.5,11.7,92,100,17.16,RU,overcast clouds
334,Beringovskiy,63.05,179.3167,10.94,77,29,10.69,RU,scattered clouds
335,Bakuriani,41.7497,43.5325,41.83,68,0,2.33,GE,clear sky
336,Kokopo,-4.352,152.2633,77.29,84,44,8.08,PG,scattered clouds
337,Kaitong,44.8135,123.15,42.87,45,0,8.48,CN,clear sky
338,Chota,-6.55,-78.65,70.5,72,74,4.97,PE,light rain
339,Marawi,7.9986,124.2928,67.64,93,100,3.76,PH,overcast clouds
340,Kaliua,-5.0606,31.7936,83.17,33,58,4.7,TZ,broken clouds
341,Taksimo,56.3444,114.8794,30.61,72,100,3.0,RU,overcast clouds
342,Northam,51.0333,-4.2167,56.01,75,99,16.73,GB,overcast clouds
343,Angoche,-16.2325,39.9086,77.16,75,15,16.67,MZ,few clouds
344,Gornorechenskiy,44.2624,135.1133,39.18,66,4,7.83,RU,clear sky
345,Valdivia,-39.8142,-73.2459,55.49,98,100,2.77,CL,overcast clouds
346,Jumla,29.2747,82.1838,47.86,87,5,4.03,NP,clear sky
